,energy,protein,fat,calcium,iron
beef braised,340,20,28,9,2.6
hamburger,245,21,17,9,2.7
beef roast,420,15,39,7,2
beef steak,375,19,32,9,2.6
beef canned,180,22,10,17,3.7
chicken broiled,115,20,3,8,1.4
chicken canned,170,25,7,12,1.5
beef heart,160,26,5,14,5.9
lamb leg roast,265,20,20,9,2.6
lamb shoulder roast,300,18,25,9,2.3
smoked ham,340,20,28,9,2.5
pork roast,340,19,29,9,2.5
pork simmered,355,19,30,9,2.4
beef tongue,205,18,14,7,2.5
veal cutlet,185,23,9,9,2.7
bluefish baked,135,22,4,25,0.6
clams raw,70,11,1,82,6
clams canned,45,7,1,74,5.4
crabmeat canned,90,14,2,38,0.8
haddock fried,135,16,5,15,0.5
mackerel broiled,200,19,13,5,1
mackerel canned,155,16,9,157,1.8
perch fried,195,16,11,14,1.3
salmon canned,120,17,5,159,0.7
sardines canned,180,22,9,367,2.5
tuna canned,170,25,7,7,1.2
shrimp canned,110,23,1,98,2.6
